attr1,attr2,attr3,attr4,attr5,attr6,attr7,atr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18
42.9,26,31.5,13.1,10.4,18.8,14.1,106.2,71.5,32.5,26,34.5,36.5,23.5,16.5,21,1,65.6
43.7,28.5,33.5,14,11.8,20.6,15.1,110.5,79,34.4,28,36.5,37.5,24.5,17,23,1,71.8
40.1,28.2,33.3,13.9,10.9,19.7,14.1,115.1,83.2,33.4,28.8,37,37.3,21.9,16.9,28,1,80.7
44.3,29.9,34,13.9,11.2,20.9,15,104.5,77.8,31,26.2,37,34.8,23,16.6,23,1,72.6
41,26.8,32.2,14.9,10.6,17.8,14,107.5,78,36,29,34.5,35,22,16.5,23,1,71
45,27,33.2,13.7,11.1,20.7,14,112,82,34.5,29.5,39,35.7,24,17.5,22,1,79.6
39.9,30,34.5,15.6,11.9,21.2,16,112.2,88.3,37,28.8,40.9,41.7,24.2,17.8,30,1,93.8
43,26.5,30.3,14.8,11.2,19.7,14.7,120,73.6,31.2,26.9,36.4,35.6,22,17.1,22,1,70
43.1,28.6,33.4,14.9,12.2,20.8,14.8,109,78.5,34.5,28.5,38,36.5,23,18.5,29,1,72.4
43.6,29.3,34.4,15.4,10.9,20.7,15.5,118.5,87.3,37,30.5,39.8,42,26.5,18.8,22,1,85.9
42,27.5,30.7,13.1,11.1,19.2,13.9,116,92,32,27.6,37.5,35.2,21,17.3,22,1,78.8
43.8,28,33.3,15,11.5,20.4,14.4,111,80,37,30,37.5,35.5,23,18,20,1,77.8
42.3,26.4,31.2,14.6,10.8,18.6,13.8,117.7,74.5,31.2,26.9,36.2,33.3,23.5,16,22,1,66.2
42.7,29.9,35,14.3,11.2,19.8,14.1,123.9,90.6,37,28.3,35.4,40.6,22.9,17,24,1,86.4
44.8,27.8,32.2,15.2,11.6,19.4,14.7,120.6,81.4,39.4,31.9,38.5,41.2,22.8,18.2,26,1,81.8
46,30.1,34.5,16.4,13.3,22.2,14.9,129.5,89.5,37.5,30.1,39.9,41.5,23.5,19,24,1,89.6
45.4,31.8,35.2,14.6,10.5,20.2,15.3,115,85,35.5,28.5,38,40,23.5,16.7,21,1,82.8
40.5,28.3,33.4,14.6,11.1,20.8,14.5,116,73.5,32.5,27.8,39,38.2,23.5,17.8,24,1,76.4
